"id","tag"
0,"O"
1,"VBG"
2,"VBZ"
3,"DT"
4,"JJ"
5,"NN"
6,"IN"
7,"JJ"
8,"JJ"
9,"NN"
10,"NNS"
11,"IN"
12,"RB"
13,"JJ"
14,"NN"
15,"NN"
16,"NNS"
17,","
18,"VBN"
19,"IN"
20,"DT"
21,"NNS"
22,"IN"
23,"IN"
24,"NNP"
25,"POS"
26,"NN"
27,"."
28,"RB"
29,"VBN"
30,"VBZ"
31,"DT"
32,"NN"
33,"JJ"
34,"NN"
35,"NN"
36,"CC"
37,"DT"
38,"JJ"
39,"JJ"
40,"NN"
41,"IN"
42,"DT"
43,"NN"
44,"POS"
45,"NNS"
46,","
47,"IN"
48,"DT"
49,"NN"
50,"IN"
51,"NN"
52,"."
53,"NNP"
54,"NNP"
55,"NNP"
56,"NNPS"
57,"NNP"
58,"NNP"
59,"NNPS"
60,"NNP"
61,"NNP"
62,"CC"
63,"NNP"
64,"NNPS"
65,"SYM"
66,":"
67,"NN"
68,"."
69,"SYM"
70,":"
71,"IN"
72,"IN"
73,"NNP"
74,"POS"
75,"NN"
76,"."
77,"SYM"
78,":"
79,"VBN"
80,"IN"
81,"NNP"
82,"NNP"
83,"NN"
84,"NN"
85,"."
86,"SYM"
87,":"
88,"IN"
89,"JJ"
90,"NNS"
91,"."
92,"SYM"
93,":"
94,"IN"
95,"IN"
96,"NNP"
97,"POS"
98,"NN"
99,"."
100,"O"
101,"DT"
102,"NN"
103,"VBD"
104,"NN"
105,","
106,"VBG"
107,"TO"
108,"VB"
109,"NNP"
110,"NNP"
111,"NNP"
112,"POS"
113,"VBN"
114,"NN"
115,"TO"
116,"VB"
117,"VBN"
118,"IN"
119,"DT"
120,"JJ"
121,"NN"
122,"IN"
123,"RB"
124,"JJ"
125,"NNP"
126,"NNP"
127,"NNP"
128,"IN"
129,"$"
130,"CD"
131,"DT"
132,"NN"
133,","
134,"CC"
135,"$"
136,"CD"
137,"CD"
138,"."
139,"DT"
140,"NN"
141,","
142,"WDT"
143,"VBZ"
144,"JJ"
145,"NN"
146,","
147,"VBD"
148,"VBN"
149,"IN"
150,"NNP"
151,"NNP"
152,"NNP"
153,"."
154,"DT"
155,"NN"
156,"VBZ"
157,"IN"
158,"DT"
159,"NN"
160,"VBZ"
161,"``"
162,"JJ"
163,"CC"
164,"RB"
165,"JJ"
166,"''"
167,"CC"
168,"IN"
169,"DT"
170,"NNS"
171,"VBP"
172,"VBG"
173,"TO"
174,"VB"
175,"DT"
176,"``"
177,"NN"
178,"''"
179,"IN"
180,"DT"
181,"NN"
182,"IN"
183,"NNP"
184,","
185,"RB"
186,"VBG"
187,"JJ"
188,"NNS"
189,"."
190,"PRP"
191,"VBZ"
192,"JJ"
193,"NN"
194,"NNS"
195,"."
196,"DT"
197,"NNP"
198,"NNP"
199,"NN"
200,"VBD"
201,"DT"
202,"NN"
203,"IN"
204,"NN"
205,"."
206,"NNS"
207,"VBP"
208,"VBN"
209,"TO"
210,"VB"
211,"IN"
212,"DT"
213,"NN"
214,"NNP"
215,"."
216,"O"
217,"DT"
218,"NNP"
219,"JJ"
220,"NN"
221,"VBD"
222,"DT"
223,"JJ"
224,"NN"
225,"IN"
226,"PRP$"
227,"NN"
228,"NNP"
229,"JJ"
230,"NNS"
231,"TO"
232,"CD"
233,"JJ"
234,"NN"
235,"IN"
236,"CD"
237,"JJ"
238,"NNS"
239,"."
240,"DT"
241,"NN"
242,"VBZ"
243,"RB"
244,"IN"
245,"NN"
246,"CC"
247,"NN"
248,"NN"
249,"."
250,"PRP"
251,"VBD"
252,"DT"
253,"VBN"
254,"NN"
255,"VBZ"
256,"DT"
257,"JJ"
258,"NN"
259,"IN"
260,"JJ"
261,"NNS"
262,"."
263,"NNP"
264,"NNP"
265,","
266,"NNP"
267,"NNP"
268,"POS"
269,"NN"
270,"NN"
271,","
272,"NN"
273,","
274,"VBD"
275,"NNS"
276,"IN"
277,"DT"
278,"JJ"
279,"NN"
280,"VBG"
281,"NNP"
282,"CD"
283,"MD"
284,"VB"
285,"RB"
286,"JJ"
287,"IN"
288,"CD"
289,"CD"
290,"JJ"
291,"NNS"
292,"("
293,"$"
294,"CD"
295,")"
296,"."
297,"DT"
298,"NN"
299,"RB"
300,"VBD"
301,"DT"
302,"NN"
303,"IN"
304,"CD"
305,"."
306,"DT"
307,"JJ"
308,"NN"
309,"NN"
310,"VBZ"
311,"JJ"
312,"NNP"
313,"CD"
314,"TO"
315,"NNS"
316,"IN"
317,"NN"
318,"NNP"
319,"CD"
320,"."
321,"IN"
322,"NNP"
323,"NNP"
324,"NNP"
325,"JJ"
326,"NN"
327,"NNP"
328,","
329,"NNP"
330,"NNP"
331,"VBD"
332,"JJ"
333,"IN"
334,"$"
335,"CD"
336,"DT"
337,"NN"
338,"."
339,"O"
340,"NNP"
341,"NNPS"
342,"NNP"
343,"VBD"
344,"IN"
345,"NNP"
346,"IN"
347,"PRP"
348,"VBD"
349,"NNP"
350,"NNP"
351,"NNP"
352,","
353,"DT"
354,"NN"
355,"NN"
356,"NN"
357,"VBN"
358,"IN"
359,"NNP"
360,"NNP"
361,"NNP"
362,"IN"
363,"NNP"
364,","
365,"NNP"
366,"."
367,"NNP"
368,"VBD"
369,"PRP"
370,"VBD"
371,"NN"
372,"CC"
373,"VBD"
374,"TO"
375,"VB"
376,"DT"
377,"NN"
378,"."
379,"NNP"
380,"NNPS"
381,"VBZ"
382,"DT"
383,"NN"
384,"IN"
385,"NNP"
386,"NNP"
387,","
388,"DT"
389,"JJ"
390,"NN"
391,"NN"
392,"."
393,"NNP"
394,"NNP"
395,","
396,"WDT"
397,"VBZ"
398,"JJ"
399,"NN"
400,"IN"
401,"$"
402,"CD"
403,"CD"
404,"TO"
405,"$"
406,"CD"
407,"CD"
408,","
409,"VBZ"
410,"JJ"
411,"NN"
412,"NN"
413,"IN"
414,"IN"
415,"DT"
416,"JJ"
417,"NN"
418,"IN"
419,"NNP"
420,"NNS"
421,"VBG"
422,"NN"
423,"NN"
424,","
425,"NNP"
426,"VBD"
427,"."
428,"DT"
429,"NN"
430,"MD"
431,"VB"
432,"VBN"
433,"NNP"
434,"NNP"
435,"NNP"
436,"CC"
437,"MD"
438,"VB"
439,"TO"
440,"VB"
441,"VBN"
442,"IN"
443,"NNP"
444,"NNP"
445,","
446,"DT"
447,"NN"
448,"IN"
449,"PRP$"
450,"NN"
451,","
452,"NNP"
453,"VBD"
454,"."
455,"O"
456,"DT"
457,"NN"
458,"IN"
459,"DT"
460,"$"
461,"CD"
462,"CD"
463,"NN"
464,"IN"
465,"NNP"
466,"NNPS"
467,"NN"
468,"NNP"
469,"NNP"
470,"VBZ"
471,"VBN"
472,"NNP"
473,"NNP"
474,"POS"
475,"NN"
476,"NN"
477,"NNS"
478,"PRP$"
479,"JJS"
480,"NN"
481,"RB"
482,"IN"
483,"DT"
484,"JJ"
485,"NN"
486,"."
487,"PRP$"
488,"$"
489,"CD"
490,"JJ"
491,"IN"
492,"VBN"
493,"NN"
494,"NNS"
495,"RB"
496,"VBZ"
497,"DT"
498,"$"
499,"CD"
500,"CD"
501,"IN"
502,"NN"
503,"NNS"
504,"DT"
505,"NN"
506,"NNS"
507,","
508,"VBN"
509,"IN"
510,"NNS"
511,","
512,"VBN"
513,"IN"
514,"CD"
515,"WRB"
516,"NNP"
517,"NNP"
518,"NNP"
519,"VBD"
520,"DT"
521,"$"
522,"CD"
523,"CD"
524,"NN"
525,"IN"
526,"NNPS"
527,"NNP"
528,"NNP"
529,"."
530,"IN"
531,"DT"
532,"CD"
533,"NN"
534,"NNS"
535,"IN"
536,"DT"
537,"NNP"
538,"NN"
539,"NN"
540,"NN"
541,"VBD"
542,"TO"
543,"VB"
544,"NN"
545,"NN"
546,","
547,"VBG"
548,"NNP"
549,"IN"
550,"DT"
551,"NN"
552,"IN"
553,"PRP$"
554,"NN"
555,"NNP"
556,"NNPS"
557,"NNP"
558,","
559,"NNP"
560,"NN"
561,"VBZ"
562,"VBN"
563,"IN"
564,"CD"
565,"NN"
566,"TO"
567,"CD"
568,"CD"
569,"IN"
570,"CD"
571,"CD"
572,"."
573,"DT"
574,"NNS"
575,"MD"
576,"VB"
577,"DT"
578,"IN"
579,"PRP$"
580,"NN"
581,"NNS"
582,"IN"
583,"DT"
584,"NNP"
585,"NN"
586,"VBZ"
587,"VBN"
588,"RP"
589,"RB"
590,","
591,"IN"
592,"PRP"
593,"VBD"
