"id","word","tag"
3,",",","
7,",",","
18,".","."
26,",",","
31,".","."
35,",",","
47,",",","
58,".","."
92,",",","
95,".","."
99,",",","
101,",",","
110,",",","
124,",",","
127,".","."
130,",",","
142,",",","
153,".","."
164,",",","
177,",",","
188,".","."
193,",",","
194,"``","``"
200,".","."
216,".","."
225,".","."
226,"''","''"
247,".","."
248,"``","``"
260,",",","
261,"''","''"
272,".","."
295,".","."
304,"``","``"
308,"''","''"
329,".","."
334,",",","
344,",",","
348,".","."
358,",",","
362,"--",":"
370,".","."
380,",",","
387,".","."
396,",",","
406,",",","
410,".","."
411,"``","``"
427,",",","
428,"''","''"
432,".","."
446,",",","
448,",",","
465,",",","
468,".","."
471,",",","
480,",",","
491,".","."
519,",",","
521,",",","
529,",",","
533,".","."
555,",",","
566,",",","
572,",",","
585,".","."
600,",",","
604,".","."
607,",",","
622,".","."
625,",",","
636,".","."
657,".","."
670,".","."
684,",",","
704,".","."
707,"``","``"
712,"''","''"
720,",",","
728,".","."
729,"``","``"
744,",",","
745,"''","''"
749,",",","
759,".","."
760,"``","``"
774,".","."
784,".","."
794,",",","
806,".","."
842,".","."
858,".","."
873,",",","
879,",",","
884,".","."
908,".","."
926,".","."
936,",",","
952,",",","
960,"--",":"
963,".","."
965,",",","
970,",",","
976,",",","
978,"``","``"
987,"''","''"
996,".","."
1008,",",","
1011,",",","
1019,".","."
1025,",",","
1034,".","."
1043,"$","$"
1050,",",","
1052,"$","$"
1055,".","."
1057,",",","
1076,".","."
1088,".","."
1092,",",","
1096,",",","
1109,",",","
1117,".","."
1131,",",","
1136,".","."
1149,",",","
1154,".","."
1168,";",":"
1182,".","."
1186,",",","
1194,",",","
1205,",",","
1210,".","."
1216,",",","
1223,",",","
1226,".","."
1238,".","."
1256,"$","$"
1260,",",","
1262,"$","$"
1265,".","."
1283,".","."
1305,".","."
1308,"$","$"
1311,".","."
1326,".","."
1329,",",","
1333,",",","
1335,",",","
1341,".","."
1352,"$","$"
1355,".","."
1376,".","."
1380,",",","
1395,",",","
1399,".","."
1410,"$","$"
1414,"$","$"
1417,".","."
1433,".","."
1443,"$","$"
1446,",",","
1461,".","."
1479,".","."
1506,".","."
1518,",",","
1520,",",","
1525,".","."
1527,",",","
1530,",",","
1534,",",","
1545,".","."
1559,".","."
1569,",",","
1591,".","."
1595,".","."
1613,".","."
1631,".","."
1634,",",","
1637,":",":"
1658,",",","
1670,".","."
1687,",",","
1701,".","."
1704,",",","
1727,".","."
1732,".","."
1736,",",","
1741,",",","
1754,",",","
1761,".","."
1768,",",","
1777,".","."
1786,",",","
1796,".","."
1798,",",","
1804,",",","
1811,",",","
1825,".","."
1829,",",","
1841,".","."
1844,",",","
1863,".","."
1866,",",","
1882,".","."
1885,",",","
1892,"--",":"
1896,".","."
1908,",",","
1921,",",","
1924,",",","
1934,".","."
1938,"--",":"
1941,"--",":"
1947,",",","
1956,".","."
1977,".","."
1981,",",","
1990,"--",":"
1994,".","."
2003,"$","$"
2008,",",","
2015,",",","
2022,".","."
2037,",",","
2044,",",","
2054,".","."
2060,"$","$"
2063,",",","
2073,",",","
2079,"$","$"
2082,",",","
2089,".","."
2095,",",","
2100,",",","
2109,",",","
2115,".","."
2133,"$","$"
2136,".","."
2141,",",","
2150,"$","$"
2157,".","."
2162,",",","
2178,"$","$"
2181,".","."
2185,"$","$"
2188,",",","
2192,".","."
2195,",",","
2204,",",","
2222,".","."
2229,",",","
2237,",",","
2251,".","."
2278,",",","
2285,",",","
2296,".","."
2299,",",","
2304,",",","
2316,".","."
2319,",",","
2326,"$","$"
2328,".","."
2331,",",","
2348,";",":"
2354,",",","
2367,";",":"
2375,"$","$"
2377,".","."
2388,".","."
2398,",",","
2406,"``","``"
2409,".","."
2410,"''","''"
2416,"``","``"
2419,"''","''"
2430,",",","
2436,"$","$"
2441,"$","$"
2445,".","."
2470,";",":"
2477,",",","
2486,",",","
2492,".","."
2493,"``","``"
2503,",",","
2514,",",","
2515,"''","''"
2519,".","."
2540,",",","
2546,".","."
2548,",",","
2559,".","."
2566,",",","
2568,",",","
