"id","word","tag"
194,"``","``"
226,"''","''"
248,"``","``"
261,"''","''"
304,"``","``"
308,"''","''"
362,"--",":"
411,"``","``"
428,"''","''"
707,"``","``"
712,"''","''"
729,"``","``"
745,"''","''"
760,"``","``"
960,"--",":"
978,"``","``"
987,"''","''"
1892,"--",":"
1938,"--",":"
1941,"--",":"
1990,"--",":"
2406,"``","``"
2410,"''","''"
2416,"``","``"
2419,"''","''"
2493,"``","``"
2515,"''","''"
2826,"--",":"
2837,"--",":"
2843,"``","``"
2878,"''","''"
2924,"``","``"
2928,"...",":"
2938,"''","''"
2996,"--",":"
3014,"--",":"
3025,"``","``"
3033,"''","''"
3142,"``","``"
3144,"''","''"
3337,"``","``"
3341,"...",":"
3353,"''","''"
3462,"``","``"
3467,"''","''"
3987,"--",":"
3990,"--",":"
4164,"``","``"
4174,"''","''"
4190,"``","``"
4228,"''","''"
4254,"``","``"
4257,"''","''"
4320,"``","``"
4334,"''","''"
4346,"``","``"
4355,"''","''"
4359,"``","``"
4373,"''","''"
4436,"--",":"
4506,"--",":"
4540,"--",":"
4761,"--",":"
5063,"--",":"
5073,"--",":"
5147,"``","``"
5150,"''","''"
5160,"``","``"
5163,"''","''"
5180,"``","``"
5194,"''","''"
5395,"--",":"
5406,"--",":"
5432,"``","``"
5434,"''","''"
5485,"``","``"
5498,"''","''"
5540,"``","``"
5552,"''","''"
5644,"--",":"
5697,"``","``"
5715,"''","''"
5976,"--",":"
5989,"--",":"
6508,"``","``"
6511,"''","''"
6605,"``","``"
6625,"''","''"
6772,"``","``"
6785,"''","''"
6872,"US$","$"
6891,"C$","$"
7167,"--",":"
7187,"--",":"
7207,"--",":"
7264,"``","``"
7276,"''","''"
7743,"--",":"
7766,"``","``"
7770,"--",":"
7778,"''","''"
7803,"``","``"
7807,"''","''"
7846,"``","``"
7848,"''","''"
7897,"``","``"
7905,"''","''"
8294,"``","``"
8305,"''","''"
8356,"``","``"
8370,"''","''"
8460,"``","``"
8558,"``","``"
8563,"''","''"
9039,"``","``"
9051,"''","''"
9055,"``","``"
9061,"''","''"
9076,"--",":"
9118,"``","``"
9120,"''","''"
9189,"``","``"
9200,"''","''"
9216,"``","``"
9228,"''","''"
9252,"--",":"
9261,"--",":"
9912,"``","``"
9932,"''","''"
9957,"``","``"
9969,"''","''"
10078,"``","``"
10083,"''","''"
10131,"``","``"
10135,"''","''"
10221,"``","``"
10223,"''","''"
10241,"``","``"
10246,"''","''"
10280,"``","``"
10285,"''","''"
10387,"--",":"
10390,"--",":"
10410,"``","``"
10413,"''","''"
10451,"--",":"
10456,"--",":"
10487,"``","``"
10491,"Wa",","
10492,"''","''"
10522,"``","``"
10525,"''","''"
10536,"``","``"
10549,"''","''"
10550,"``","``"
10552,"''","''"
10556,"``","``"
10559,"''","''"
10597,"``","``"
10605,"''","''"
10657,"--",":"
10660,"--",":"
10683,"--",":"
10702,"``","``"
10707,"''","''"
10759,"``","``"
10762,"''","''"
10803,"--",":"
10839,"--",":"
10851,"--",":"
10854,"``","``"
10856,"''","''"
11162,"``","``"
11165,"''","''"
11615,"``","``"
11621,"''","''"
11859,"``","``"
11862,"''","''"
11872,"...",":"
11916,"--",":"
11918,"--",":"
11949,"US$","$"
11985,"C$","$"
12150,"``","``"
12156,"''","''"
12189,"``","``"
12193,"''","''"
12236,"``","``"
12239,"''","''"
12241,"``","``"
12244,"''","''"
12357,"``","``"
12360,"''","''"
12504,"``","``"
12508,"''","''"
12740,"``","``"
12745,"''","''"
12754,"--",":"
12759,"--",":"
12966,"``","``"
12970,"''","''"
13055,"``","``"
13059,"''","''"
13064,"``","``"
13068,"''","''"
13312,"``","``"
13315,"''","''"
13326,"``","``"
13338,"''","''"
13374,"``","``"
13383,"''","''"
13392,"``","``"
13435,"''","''"
13514,"``","``"
13528,"''","''"
13597,"``","``"
13612,"''","''"
13613,"``","``"
13617,"''","''"
13622,"``","``"
13633,"''","''"
13634,"``","``"
13638,"''","''"
13649,"``","``"
13664,"''","''"
13706,"``","``"
13713,"''","''"
13718,"``","``"
13755,"''","''"
13756,"``","``"
13760,"''","''"
13765,"``","``"
13774,"''","''"
